獲取時間,商品名稱,價錢
2021-11-13 11:27:58 PM,海盜戰記VINLAND SAGA (4)（電子書）,55
2021-11-13 11:27:58 PM,Tino小安安 嬰兒潔膚濕巾-加厚型 (80抽/包),55
2021-11-13 11:27:58 PM,【AQUA水】濕式衛生紙(48抽/包),59
2021-11-13 11:27:58 PM,必安住《抗菌》潔膚柔濕巾100抽,65
2021-11-13 11:27:58 PM,添寧 潔膚濕巾(40抽/包),65
2021-11-13 11:27:58 PM,Personal Care凡士林精煉護膚凝膠 3.53oz/100g,65
2021-11-13 11:27:58 PM,安安 成人柔護濕巾-加大型 (48抽/包),65
2021-11-13 11:27:58 PM,來復易 吸水淨爽輕薄少量型(19cm*22片/包),69
2021-11-13 11:27:58 PM,來復易 吸水淨爽輕薄少量型(22片/包),69
2021-11-13 11:27:58 PM,【立得清】酒 精 擦濕紙巾-清潔抗菌(10抽x3包),69
2021-11-13 11:27:58 PM,【安親】加蓋抑菌濕紙巾 (80抽/包),69
2021-11-13 11:27:58 PM,美國 Vaseline 凡士林-49g/1.75oz,75
2021-11-13 11:27:58 PM,Lucky Super Soft凡士林精煉護膚凝膠6oz/170g,75
2021-11-13 11:27:58 PM,護得住超乾爽吸水棉19cm(26片/包),79
2021-11-13 11:27:58 PM,童針織彈性對花平口褲-9780,79
2021-11-13 11:27:58 PM,來復易 瞬吸安心漏尿專用棉墊中量型 (16片/包),79
2021-11-13 11:27:58 PM,護得住超乾爽吸水棉28cm(11片/包),79
2021-11-13 11:27:58 PM,來復易 瞬吸安心漏尿專用棉墊 特多量34cm (8片/包),79
2021-11-13 11:27:58 PM,來復易 吸水淨爽輕薄中量型(16片/包),79
2021-11-13 11:27:58 PM,Goomi 初秋新裝，口碑熱賣【小童內搭褲】粉白條,79
第2頁
來復易 瞬吸安心漏尿專用棉墊多量型 (10片/包),79
Goomi 早秋新裝，口碑熱賣【BABY內搭褲】麻花灰,79
拭拭樂 成人看護墊M (12片/包),79
護得住超乾爽吸水棉23cm(18片/包),79
Goomi 早秋新裝，口碑熱賣【BABY內搭褲】藍白條,79
生活自理小繪本：再見了尿布,79
來復易 吸水淨爽護墊微量型(40片/包),79
優生嬰兒玉米爽身粉-白櫻花香氛150g,79
Goomi 初秋新裝，口碑熱賣【小童內搭褲】麻花灰,79
來復易 瞬吸安心漏尿專用棉墊少量 (24片/包),79
Goomi 早秋新裝，口碑熱賣【BABY內搭褲】粉白條,79
護得住超乾爽吸水棉35cm(9片/包),79
Goomi 初秋新裝，口碑熱賣【小童內搭褲】藍白條,79
包大人 濕巾 80抽/包,80
優生嬰兒玉米爽身粉-白櫻花香氛150g,85
黃色小鴨《PiyoPiyo》嬰兒柔濕巾(80抽),88
黃色小鴨《PiyoPiyo》嬰兒柔濕巾(80抽),88
康乃馨-成人看護墊(10片/包),89
Nuby 游泳尿布(男L),89
寵物尿布 寵物尿布墊 防臭吸水 尿墊 吸水尿布墊 S號5入裝,89
第3頁
添寧 護妳墊(一般流量)-20片,89
Nuby 游泳尿布(女L),89
添寧 護妳墊(加強型)-12片,89
Nuby 游泳尿布(女XL),89
添寧 護妳墊( 量多型)-10片,89
添寧 護妳墊(微量型)-26片,89
Nuby 游泳尿布(男XL),89
好奇 迪士尼限定米奇米妮厚型純水濕巾 (70抽x2包/串),89
明明就愛欺負我（電子書）,90
優生涼性爽身粉-綠茶香氛300g,92
米奇兩入男童三角褲,98
安親 多功能潔淨墊特多量型 漏尿專用 (10片/包),99
安親 多功能潔淨墊中量型 漏尿專用 (20片/包),99
